,answer,keywords
4991,islamabad,capital city asian Pakistan mosque Rawalpindi Construction karachi world began planned joanie National named religion main Shah Peace Atomic Research Institute Pervez Musharraf year Built worshipper love remembers happy day current house largest idea includes follow leader laurel northeast start
50,israel,country world Middle national Minister Eastern Carmel David Prime Lebanon independence Egypt foreign Knesset anthem Mideast history Golan Heights city Return Created Jews Bashir Gemayel Beirut Research Greece year president Sabra bible Chaim Weizmann Negev Desert Jacob Book September Orchestra
446,istanbul,city Bosporus bridge Turkish Constantinople Topkapi Palace world Ankara Orient asian university Europe Byzantium museum capital Strait Greek Rome Istanbul Sophia sultan Express empire quay geography mosque Hagia Love ottoman Blue called Fatih Britannica Polin Chinese Linked Galata Ataturk Abduction
3180,it,King Stephen Pennywise clown word bestseller Title Clifford Clara Elinor Glyn Dickens Cities Paul Twisted game player roaring stupid answer child book quality hodgepodge term tagged shortest endangers feature demonic pursuer Bulwer-Lytton hefty writing plenty mess hidden agenda minefield sang
1283,it's a wonderful life,George Stewart Bailey Jimmy Christmas Bedford Falls film movie classic Greatest born Gift James based story holiday Potter Clarence quote Street angel suppose time bell ring role banker business town Reed Philip Bert Ernie Sesame Zuzu WWII Merry Oddbody Bobby
657,italian,language Marino modern dialect John Pope Paul Tuscany republic Romance official English Machiavelli Mandragola Lina Wertmuller Beauties Fluency Characters Search Abruzzese Orlando Innamorato original world form Spanish Dante Signore written comedy Author country noted census bandit famous February oldest tiny
13,italy,country European world king nation Victor Umberto Lake Emmanuel France region island peninsula river Sardinia wine language Apennine minister American Albania Renaissance Elba Marino Prime Ethiopia WWII Sicily film foreign Lombard saint cheesy part Percy Russia Etruscans Achille Lauro Bysshe
2952,ivan,Russian terrible Great Prince Pavlov Grand Moscow Turgenev czar John ruler moneybag equivalent VIII leader opera called league Siberia Kalita Andrei Boris Henry Soviet Denisovich Shukhov historic year wife proclaimed noble nickname conqueror expanded scare Rimsky-Korsakov wrote people royal meaning
4893,ivan pavlov,Russian physiologist Work Published nobel Reflexes Medicine science Conditioned Glands Behaviorists prize Digestive Experimental dog bell book drool nature major director dept ring Edwin winner Twitmyer Inst Institute Surely psych independently response discovery general doggone vagus nerve control flow juice
418,ivan the terrible,Russian czar ruler moscow Ivan killed century history heir died Grand born prince Pskov Anastasia Novgorod March Vasily Terrible Bells Romanovna Rurik Duke Bizet Moneybag opera Rimsky-Korsakov rage wife Grozny notorious year nickname monk Cathedral Maid Siberia sergei city crowned
1726,ivanhoe,Scott Walter Saxon Rebecca Rowena character title Wilfred Cedric british Sullivan knight robin Brian literature hero opera hood based Bois-Guilbert saga disinherited classic book love story work Spurned Thackeray Black Sluggard Torquilstone Castle Tuck England Iberia Philadelphia Gratz Lady Prince
1395,ivory,Tusk material soap gift Traditional made teeth Mrs. Babar Sotheby White anniversary Kenya hippo elephant color called brand horrified yellow popular source false potpourri Fearing worldwide walrus jewelry announced sell item produced Procter Gamble piano banned mammal floats Keenen Wayans
4946,ivory coast,African tusk country Forgot Mande world elephant anthem nation cocoa Abidjan Yamoussoukro Ivorians Coffee Gulf Guinea French-speaking Liberia Salut Pachyderm Substance President Gbagbo Akan Voltaic geography producer includes major main gov building official capital people republic material cacao seed chief
2726,iwo jima,Mount Island marine Suribachi February flag world WWII battle wayne Japanese raising March Charles survivor VIDEO DAILY DOUBLE Pacific Nimitz Uncommon Medal Honor Sergeant Stryker Sands Lindberg Pima Indian history famous photo military Site Feb. corp place film largest pair
1272,j. edgar hoover,director Bureau born Washington Justice Department year Investigation named Official file president building Study Communism Secrets headquarters history wanted served life american king state Edgar white back held post list house wheel limousine bullet-proofed assigned landmark baby government death December
1504,j.d. salinger,Catcher author story Franny Glass Rye Caulfield Zooey David Holden Jerome Seymour Miriam published Uncle Wiggily January reclusive Connecticut famous letter Yorker family Perfect year Bananafish wrote book child century baby born Poland blocked Caribbean Buddy Ward Stradlater Robert Ackley
1488,j.k. rowling,author woman Potter Joanne Kathleen Harry book british forbes wrote Times England Queen Elizabeth initial London wizard Portugal Ages Quidditch novelist people work cafe daughter napped feared boy avoid contemporary highest-earning stand field future creator Prince billionaire teacher list estimated
2256,j.p. morgan,Steel financier titanic Corporation General Electric Western Union Legendary American Hartford-born million named banker owned Star helped company initially White Line Pierpont Morganite create Reserve found wizardry government turn century people gem pink variety beryl tycoon City March collector afloat
2970,j.r.r. tolkien,author Lord Rings Silmarillion middle South Africa Oxford England Merton Hobbit Ronald book Reuel British born Middle-Earth published literature death initialed brought potpourri served professor Bloemfontein Towers writer Bilbo Baggins Sauron Edited Christopher Children Hurin Soddit Cash Corsairs Umbar began
2019,j.s. bach,Goldberg composer Variations Brandenburg Baroque Concerto classical Organ wrote Clavier Johann music book Philipp Carl Emanuel Margrave Bach Leipzig Well-Tempered family cantata bethlehem balanchine ballet danced great named died piano church piece half work year honor harpsichordist Kaiserling July English
1190,jack,nursery rhyme Dame queen patched vinegar brown title word flap englishman Charles Coppola-directed Robin Happy song giant fairy king jack mother goose paper Hurdler Road Jill Nicholson Joker Cormoran Cornish Originally Breaks Tumble Blunderbore Thundel Galligantus Paul Theroux Saint Singapore
2105,jack benny,comedian marilyn Born Waukegan monroe Aunt grammer television stingy radio Wilson jack debut made program Master Charley Brazil Love Bloom Eddie Anderson Ralph Alice Honeymooners Fred Allen Illinois Benjamin Kubelsky Rochester played violin classic announcer buck birthday turned celebrated time
2380,jack dempsey,Manassa Gene Tunney Mauler Long Count heavyweight Colorado damon runyon Sept. champ title Battle boxing jack lost nickname forgot duck fish Feb. Carpentier Logan Explaining Luis Firpo Aquarium Georges Shortly Treat Williams Estelle Honey Howzabout born championship knocked ring neutral
3442,jack johnson,black heavyweight champ boxing Tommy Burns texan James Jess Willard boxer White racial Great Hope Jeffries Hawaiian sport title fight develop feinting major tool claimed lost deliberately johnson violence movie bout resulted download December July Unforgivable Rise Fall Earl Sleep
3047,jack kerouac,Road City beat author generation cape Town York Jean-Louis wrote American Lebris Kerouac Lonesome Traveler Mexico Blues Angels Lights Bookstore Buddhism Dharma Columbia Review Incogniteau Truman Jimmy Crew book jack writing fabulous credited found ramp French-Canadian ancestry birth real grave
451,jack london,author Wolf Wild Call Fang White Klondike story american Irish Jerry House terrier Fire book South Seas Hearst California Islands jack published Yukon tale Captain Larsen lewis Oakland literature Face francisco Buck collection gold Adventuresome Arctic Socialist Eden Lost Famous
1515,jack nicholson,Good Oscar Actor role Easy Wolf Jimmy Batman James Asked movie Hoffa exit jack award chicken Pieces film acting Joker March Brennan Golden Chinatown Lakers played directed starred Shop Horrors Support George Hanson Rider Attacks President Dale Land Walter Kari
1401,jack nicklaus,Bear Golden Masters sport golf tournament Open major title jack Ohio June Arnold Palmer Encyclopedia Americana Architect legend trade nickname Century record oldest Championship played money winner tiger win date defeated separate professional stroke decade life call blond dominant generation
2681,jack ruby,assassin nightclub Dallas owner Oswald Harvey Jacob Rubenstein November Texas killed historic nickname infamous march died people ruby position fact world trade Appearing Colt Jackie Kennedy Dubbed King Torts Melvin Belli Accused Longhorn Ballroom Pistols Dorothy Cobra Troubled Rushed murder
831,jack the ripper,London killer Whitechapel Mary notorious victim Kelly august Lodger Patricia November Lulu murderer Cornwell Russian Mrs. Belloc Nichols East Walter Sept. Sickert England famous final Queen century Aug. Nov. Portrait Scotland Yard opera jack crime graphic hitchcock found belonged criminal
